date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ
4/13/2019,BJXCR,True,155,134,194024.47,Guanajuato,0.83,0,0,0.41,5,13,4,0,0.864516129
4/14/2019,BJXCR,True,155,56,92774.91,Guanajuato,0.85,0,0,0.46,6,14,4,0,0.361290323
4/15/2019,BJXCR,True,155,87,137011.48,Guanajuato,0.89,0,0,0.68,0,15,4,0,0.561290323
4/16/2019,BJXCR,True,155,83,145857.45,Guanajuato,1,0,0,1,1,16,4,0,0.535483871
4/17/2019,BJXCR,True,155,99,169499.65,Guanajuato,1,0,0,0.71,2,17,4,0,0.638709677
4/18/2019,BJXCR,True,155,0,297712.5,Guanajuato,0.77,0,0,0.37,3,18,4,0,0
4/19/2019,BJXCR,True,155,146,299475.99,Guanajuato,0.82,0,0,0.29,4,19,4,0,0.941935484
4/20/2019,BJXCR,True,155,110,212219.43,Guanajuato,0.73,0,0,0.5,5,20,4,0,0.709677419
4/21/2019,BJXCR,True,155,24,36458.47,Guanajuato,0.72,0,0,0.17,6,21,4,0,0.15483871
4/22/2019,BJXCR,True,155,53,73361.01,Guanajuato,0.79,0,0,0.45,0,22,4,0,0.341935484
4/23/2019,BJXCR,True,155,62,87705.18,Guanajuato,0.82,0,0,0.37,1,23,4,0,0.4
4/24/2019,BJXCR,True,155,69,105852.04,Guanajuato,0.86,0,0,0.48,2,24,4,0,0.44516129
4/25/2019,BJXCR,True,155,43,66167.13,Guanajuato,0.78,0,0,0.49,3,25,4,0,0.277419355
4/26/2019,BJXCR,True,155,50,83191.91,Guanajuato,0.75,0,0,0.42,4,26,4,0,0.322580645
4/27/2019,BJXCR,True,155,50,84214.81,Guanajuato,0.77,0,0,0.51,5,27,4,0,0.322580645
4/28/2019,BJXCR,True,155,9,13037.3,Guanajuato,0.74,0,0,0.42,6,28,4,0,0.058064516
4/29/2019,BJXCR,True,155,13,17677.4,Guanajuato,0.76,0,0,0.14,0,29,4,0,0.083870968
4/30/2019,BJXCR,True,155,20,32236.46,Guanajuato,0.85,0,0,0.49,1,30,4,0,0.129032258
5/1/2019,BJXCR,True,155,61,102559.67,Guanajuato,0.78,1,0,0.22,2,1,5,0,0.393548387
5/2/2019,BJXCR,True,155,28,50261.9,Guanajuato,0.59,0,0,0.26,3,2,5,0,0.180645161
5/3/2019,BJXCR,True,155,123,261427.08,Guanajuato,0.61,0,0,0.28,4,3,5,0,0.793548387
5/4/2019,BJXCR,True,155,146,320877.42,Guanajuato,0.63,0,0,0.16,5,4,5,0,0.941935484
5/5/2019,BJXCR,True,155,66,120568.54,Guanajuato,0.61,0,0,0.53,6,5,5,0,0.425806452
5/6/2019,BJXCR,True,155,23,37516.37,Guanajuato,0.65,0,0,0.4,0,6,5,0,0.148387097
5/7/2019,BJXCR,True,155,29,39827.55,Guanajuato,0.66,0,0,0.31,1,7,5,0,0.187096774
5/8/2019,BJXCR,True,155,17,26600.38,Guanajuato,0.63,0,0,0.37,2,8,5,0,0.109677419
5/9/2019,BJXCR,True,155,9,16255.48,Guanajuato,0.65,0,0,0.38,3,9,5,0,0.058064516
5/10/2019,BJXCR,True,155,97,182466.48,Guanajuato,0.61,0,0,0.33,4,10,5,0,0.625806452
5/11/2019,BJXCR,True,155,137,241729.47,Guanajuato,0.6,0,0,0.53,5,11,5,0,0.883870968
5/12/2019,BJXCR,True,155,14,23871.85,Guanajuato,0.63,0,0,0.63,6,12,5,0,0.090322581
5/13/2019,BJXCR,True,155,9,13846.95,Guanajuato,0.67,0,0,0.37,0,13,5,0,0.058064516
5/14/2019,BJXCR,True,155,31,56839.74,Guanajuato,0.74,0,0,0.77,1,14,5,0,0.2
5/15/2019,BJXCR,True,155,31,50770.4,Guanajuato,0.8,0,0,0.65,2,15,5,0,0.2
5/16/2019,BJXCR,True,155,87,154399.24,Guanajuato,0.77,0,0,0.34,3,16,5,0,0.561290323
5/17/2019,BJXCR,True,155,54,96617.8,Guanajuato,0.84,0,0,0.96,4,17,5,0,0.348387097
5/18/2019,BJXCR,True,155,81,150322.46,Guanajuato,0.88,0,0,0.88,5,18,5,0,0.522580645
5/19/2019,BJXCR,True,155,117,213474.93,Guanajuato,1,0,0,1,6,19,5,0,0.75483871
5/20/2019,BJXCR,True,155,89,173584.88,Guanajuato,0.93,0,0,0.68,0,20,5,0,0.574193548
5/21/2019,BJXCR,True,155,84,162707.55,Guanajuato,0.85,0,0,0.49,1,21,5,0,0.541935484
5/22/2019,BJXCR,True,155,87,164211.98,Guanajuato,0.74,0,0,0.69,2,22,5,0,0.561290323
5/23/2019,BJXCR,True,155,140,201244.09,Guanajuato,0.73,0,0,0.38,3,23,5,0,0.903225806
5/24/2019,BJXCR,True,155,27,43369.88,Guanajuato,0.78,0,0,0.37,4,24,5,0,0.174193548
5/25/2019,BJXCR,True,155,84,150412.09,Guanajuato,0.74,0,0,0.63,5,25,5,0,0.541935484
5/26/2019,BJXCR,True,155,16,28925.12,Guanajuato,0.69,0,0,0.32,6,26,5,0,0.103225806
5/27/2019,BJXCR,True,155,10,20277.84,Guanajuato,0.69,0,0,0.28,0,27,5,0,0.064516129
5/28/2019,BJXCR,True,155,18,24594.52,Guanajuato,0.64,0,0,0.31,1,28,5,0,0.116129032
5/29/2019,BJXCR,True,155,19,24181.17,Guanajuato,0.61,0,0,0.11,2,29,5,0,0.122580645
5/30/2019,BJXCR,True,155,150,210572.8,Guanajuato,0.58,0,0,0.34,3,30,5,0,0.967741935
5/31/2019,BJXCR,True,155,21,-24867.52,Guanajuato,0.56,0,0,0.13,4,31,5,0,0.135483871
6/1/2019,BJXCR,True,155,29,63587.83,Guanajuato,0.97,0,0,0.52,5,1,6,0,0.187096774
6/2/2019,BJXCR,True,155,5,7244.39,Guanajuato,0.95,0,0,0.66,6,2,6,0,0.032258065
6/3/2019,BJXCR,True,155,12,21009.66,Guanajuato,0.99,0,0,0.15,0,3,6,0,0.077419355
6/4/2019,BJXCR,True,155,23,36599.16,Guanajuato,0.98,0,0,0.45,1,4,6,0,0.148387097
6/5/2019,BJXCR,True,155,20,28845.21,Guanajuato,0.87,0,0,0.9,2,5,6,0,0.129032258
6/6/2019,BJXCR,True,155,29,42255.27,Guanajuato,0.86,0,0,1,3,6,6,0,0.187096774
6/7/2019,BJXCR,True,155,145,204450,Guanajuato,0.84,0,0,0.48,4,7,6,0,0.935483871
6/8/2019,BJXCR,True,155,149,210700.61,Guanajuato,0.86,0,0,0.14,5,8,6,0,0.961290323
6/9/2019,BJXCR,True,155,11,17142.63,Guanajuato,0.94,0,0,0.53,6,9,6,0,0.070967742
6/10/2019,BJXCR,True,155,21,36106.96,Guanajuato,0.81,0,0,0.33,0,10,6,0,0.135483871
6/11/2019,BJXCR,True,155,19,35904.55,Guanajuato,0.99,0,0,0.47,1,11,6,0,0.122580645
6/12/2019,BJXCR,True,155,40,70566.29,Guanajuato,0.96,0,0,0.28,2,12,6,0,0.258064516
6/13/2019,BJXCR,True,155,75,114095.83,Guanajuato,0.89,0,0,0.56,3,13,6,0,0.483870968
6/14/2019,BJXCR,True,155,97,159767.56,Guanajuato,0.93,0,0,0.29,4,14,6,0,0.625806452
6/15/2019,BJXCR,True,155,119,196284.14,Guanajuato,0.93,0,0,0.44,5,15,6,0,0.767741935
6/16/2019,BJXCR,True,155,52,87000.79,Guanajuato,0.99,0,0,0.71,6,16,6,0,0.335483871
6/17/2019,BJXCR,True,155,17,26192.76,Guanajuato,0.96,0,0,0.44,0,17,6,0,0.109677419
6/18/2019,BJXCR,True,155,31,46423.43,Guanajuato,1,0,0,0.44,1,18,6,0,0.2
6/19/2019,BJXCR,True,155,32,53356.95,Guanajuato,0.9,0,0,0.55,2,19,6,0,0.206451613
6/20/2019,BJXCR,True,155,37,60916.16,Guanajuato,0.89,0,0,0.55,3,20,6,0,0.238709677
6/21/2019,BJXCR,True,155,106,181711.86,Guanajuato,0.9,0,0,0.27,4,21,6,0,0.683870968
6/22/2019,BJXCR,True,155,133,226319.16,Guanajuato,0.93,0,0,0.55,5,22,6,0,0.858064516
6/23/2019,BJXCR,True,155,50,76008.77,Guanajuato,0.91,0,0,0.69,6,23,6,0,0.322580645
6/24/2019,BJXCR,True,155,21,30509.24,Guanajuato,0.93,0,0,0.57,0,24,6,0,0.135483871
6/25/2019,BJXCR,True,155,27,14300.3,Guanajuato,0.94,0,0,0.7,1,25,6,0,0.174193548
6/26/2019,BJXCR,True,155,63,97481.25,Guanajuato,0.97,0,0,0.54,2,26,6,0,0.406451613
6/27/2019,BJXCR,True,155,95,129614.7,Guanajuato,0.89,0,0,0.61,3,27,6,0,0.612903226
6/28/2019,BJXCR,True,155,114,177306.05,Guanajuato,0.88,0,0,0.27,4,28,6,0,0.735483871
6/29/2019,BJXCR,True,155,107,191615.69,Guanajuato,0.88,0,0,0.59,5,29,6,0,0.690322581
6/30/2019,BJXCR,True,155,90,137284.88,Guanajuato,0.9,0,0,0.54,6,30,6,0,0.580645161
7/1/2019,BJXCR,True,155,22,31007.55,Guanajuato,0.9,0,0,0.65,0,1,7,0,0.141935484
7/2/2019,BJXCR,True,155,33,51677.21,Guanajuato,0.88,0,0,0.39,1,2,7,0,0.212903226
7/3/2019,BJXCR,True,155,34,49373.47,Guanajuato,0.83,0,0,1,2,3,7,0,0.219354839
7/4/2019,BJXCR,True,155,64,109518.52,Guanajuato,0.75,0,0,0.57,3,4,7,0,0.412903226
7/5/2019,BJXCR,True,155,75,147234.51,Guanajuato,0.8,0,0,0.47,4,5,7,0,0.483870968
7/6/2019,BJXCR,True,155,111,207756.97,Guanajuato,0.78,0,0,0.26,5,6,7,0,0.716129032
7/7/2019,BJXCR,True,155,40,70987.91,Guanajuato,0.82,0,0,0.32,6,7,7,0,0.258064516
7/8/2019,BJXCR,True,155,17,24138.01,Guanajuato,0.85,0,0,0.5,0,8,7,0,0.109677419
7/9/2019,BJXCR,True,155,20,33042.52,Guanajuato,0.86,0,0,0.41,1,9,7,0,0.129032258
7/10/2019,BJXCR,True,155,27,46112.34,Guanajuato,0.89,0,0,0.64,2,10,7,0,0.174193548
7/11/2019,BJXCR,True,155,53,90810.92,Guanajuato,0.84,0,0,0.27,3,11,7,0,0.341935484
7/12/2019,BJXCR,True,155,109,216212.46,Guanajuato,0.85,0,0,0.32,4,12,7,0,0.703225806
7/13/2019,BJXCR,True,155,117,228988.18,Guanajuato,0.84,0,0,0.33,5,13,7,0,0.75483871
7/14/2019,BJXCR,True,155,28,43115.47,Guanajuato,0.81,0,0,0.58,6,14,7,0,0.180645161
7/15/2019,BJXCR,True,155,28,51782.82,Guanajuato,0.83,0,0,0.28,0,15,7,0,0.180645161
7/16/2019,BJXCR,True,155,38,64437.63,Guanajuato,0.84,0,0,0.27,1,16,7,0,0.24516129
7/17/2019,BJXCR,True,155,31,51969.78,Guanajuato,0.84,0,0,0.36,2,17,7,0,0.2
7/18/2019,BJXCR,True,155,45,80662.96,Guanajuato,0.86,0,0,0.4,3,18,7,0,0.290322581
7/19/2019,BJXCR,True,155,60,137368.16,Guanajuato,0.91,0,0,0.05,4,19,7,0,0.387096774
7/20/2019,BJXCR,True,155,83,188684.73,Guanajuato,0.89,0,0,0.87,5,20,7,0,0.535483871
7/21/2019,BJXCR,True,155,36,70897.87,Guanajuato,0.89,0,0,0.44,6,21,7,0,0.232258065
7/22/2019,BJXCR,True,155,54,96398.02,Guanajuato,0.88,0,0,0.23,0,22,7,0,0.348387097
7/23/2019,BJXCR,True,155,64,111413.7,Guanajuato,1,0,0,0.28,1,23,7,0,0.412903226
